ID UBERON	ID URCH	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	OBO ID Uberon CL	Pliv comments
		right coelomic pouch 	coelom	larva		early pluteus larva stage	6-arm pluteus larva stage										
		left coelomic pouch 	coelom	larva		early pluteus larva stage	6-arm pluteus larva stage		left coelomic sac					Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS ONE 5.	This structure has been defined from another sea urchin species but is present in P. lividus as well		
		vestibule	larval structure	larval epidermis	ventral ectoderm	8-arm pluteus larva stage	8-arm pluteus larva stage		amniotic sac					Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS ONE 5. Chino et al., 1994  Formery et al., (in prep.) Smith et al., 2008	This structure has been defined from another sea urchin species but is present in P. lividus as well  		
		vestibular pore	anatomical structure	larva	left lateral field	competent pluteus larva stage	metamorphic larva stage	Opening located in the left lateral field						gossellin and jangoux 1998			
		left axocoel	coelom	larva	left coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage										
		axial coelom	coelom	adult	left axocoel	postlarval juvenile stage	adult stage							Ziegler et al 2009			
		left hydrocoel	coelom	larva	left coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage										
		left somatocoel	coelom	larva	left coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage										
		right axohydrocoel	coelom	larva	right coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage		anterior sac								
		right somatocoel	coelom	larva	right coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage										
		stone canal	anatomical structure	water vascular system	left coelomic pouch 	8-arm pluteus larva stage	adult stage										
		ring canal	adult structure	water vascular system	left hydrocoel	8-arm pluteus larva stage	adult stage										
		radial canal	adult structure	water vascular system	left hydrocoel	8-arm pluteus larva stage	adult stage										
		hydropore	anatomical structure	primary pore canal		4-arm pluteus larva stage	adult stage										
		right axocoel	coelom	larva	right axohydrocoel	8-arm pluteus larva stage	competent pluteus larva stage										
		right hydrocoel	coelom	larva	right axohydrocoel	8-arm pluteus larva stage	competent pluteus larva stage										
		axial sinus	adult structure		right hydrocoel	postlarval juvenile stage	adult stage							Smith et al., 2008			
		primary pore canal	larval structure	water vascular system	non-skeletogenic mesenchyme	4-arm pluteus larva stage	4-arm pluteus larva stage										
		axial organ	adult structure	hemal system		exotrophic juvenile stage	adult stage							Ziegler et al., 2009			
		ciliated epaulette	larval structure	larval epidermis	ciliary band	6-arm pluteus larva stage	competent pluteus larva stage							gossellin and jangoux 1998			
		anterior ciliated epaulette	ciliated epaulette	larva		8-arm pluteus larva stage	competent pluteus larva stage							gossellin and jangoux 1998			
		posterior ciliated epaulette	ciliated epaulette	larva		8-arm pluteus larva stage	competent pluteus larva stage							gossellin and jangoux 1998			
		lateral field	anatomical region	larva		8-arm pluteus larva stage	competent pluteus larva stage	The lateral field is located in the aboral ectoderm of the larva. It separates the anterior and posterior pairs of epaulettes						gossellin and jangoux 1998			
		left lateral field	lateral field	larva		8-arm pluteus larva stage	competent pluteus larva stage	The left lateral field is the lateral field located on the left side of the larva						gossellin and jangoux 1998			
		right lateral field	lateral field	larva		8-arm pluteus larva stage	competent pluteus larva stage	The right lateral field is the lateral field located on the right side of the larva						gossellin and jangoux 1998			
		larval epidermis	larval tissue	ectoderm		early pluteus larva stage  	competent pluteus larva stage										
		ambulacral plate	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage										
		interambulacral plate	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage		int								
		genital plate	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage										
		pedicellaria	skeletal element	adult endoskeleton		8-arm pluteus larva stage	exotrophic juvenile stage										
		ocular plate	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage		terminal plate								
		buccal plate	skeletal element	adult endoskeleton		exotrophic juvenile stage	adult stage										
		genital plate AB	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage							Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology			
		genital plate BC	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage							Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology			
		genital plate CD	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage							Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology			
		genital plate DE	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage							Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology			
		genital plate EA	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage							Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology			
		primary podia	anatomical structure	water vascular system		8-arm pluteus larva stage	postlarval juvenile stage		primary tube feet								
		disk of primary podia	skeletal element	primary podia		8-arm pluteus larva stage	postlarval juvenile stage										
		secondary podia	anatomical structure	water vascular system		exotrophic juvenile stage	adult stage		tube feet								
		disk of secondary podia	skeletal element	secondary podia		exotrophic juvenile stage	adult stage										
		spine	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage										
		immature spine	spine	adult endoskeleton		8-arm pluteus larva stage	exotrophic juvenile stage										
		definitive spine	spine	adult endoskeleton		8-arm pluteus larva stage	adult stage										
		ampullae	adult structure	water vascular system	radial canal	postlarval juvenile stage	adult stage										
		adult mouth	adult structure	adult digestive system		exotrophic juvenile stage	adult stage										
		adult anus	adult structure	adult digestive system		exotrophic juvenile stage	adult stage										
		dental sac	anatomical structure	rudiment		8-arm pluteus larva stage	postlarval juvenile stage										
		teeth	adult structure	aristotle's lantern	dental sac	exotrophic juvenile stage	adult stage										
		aristotle's lantern	adult structure	adult digestive system		exotrophic juvenile stage	adult stage										
		madreporite	genital plate	endoskeleton	genital plate CD	exotrophic juvenile stage	adult stage										
		gonopore	adult structure	genital plate		exotrophic juvenile stage	adult stage		genital pore								
		gonad	adult structure	reproductive system		adult stage	adult stage										
		ovary	gonad	reproductive system		adult stage	adult stage										
		testis	gonad	reproductive system		adult stage	adult stage										
		adult digestive tube	organ	adult digestive system	larval digestive system	exotrophic juvenile stage	adult stage										
		mesentery	anatomical structure	adult		exotrophic juvenile stage	adult stage										
		sphaeridium	skeletal element	adult endoskeleton		exotrophic juvenile stage	adult stage										
		perivisceral cavity	anatomical region	adult		postlarval juvenile stage	adult stage										
